pmid	year	free_full_text	type	doi	title
38056170	2024	no	primary	10.1016/j.meatsci.2023.109402	Genome-wide scans identify biological and metabolic pathways regulating carcass and meat quality traits in beef cattle
37974179	2023	yes	primary	10.1186/s12920-023-01731-4	Identification of compound heterozygous deletion of the WWOX gene in WOREE syndrome
37930698	2023	yes	primary	10.1001/jamanetworkopen.2023.41651	Neighborhood Deprivation and DNA Methylation and Expression of Cancer Genes in Breast Tumors
37897534	2023	yes	primary	10.1007/s00018-023-04950-1	Loss of fragile WWOX gene leads to senescence escape and genome instability
37781246	2023	yes	primary	10.3389/fnins.2023.1260409	Molecular landscapes of glioblastoma cell lines revealed a group of patients that do not benefit from WWOX tumor suppressor expression
37686047	2023	yes	primary	10.3390/ijms241713242	Multi-Omics Analysis of NCI-60 Cell Line Data Reveals Novel Metabolic Processes Linked with Resistance to Alkylating Anti-Cancer Agents
37583270	2023	yes	primary	10.1002/epi4.12811	Landscape of genetic infantile epileptic spasms syndrome-A multicenter cohort of 124 children from India
37519886	2023	yes	primary	10.3389/fgene.2023.1214968	LINC01137/miR-186-5p/WWOX: a novel axis identified from WWOX-related RNA interactome in bladder cancer
37501399	2023	yes	primary	10.24272/j.issn.2095-8137.2022.514	Population genetics of marmosets in Asian primate research centers and loci associated with epileptic risk revealed by whole-genome sequencing
37461096	2023	yes	primary	10.1186/s40246-023-00510-7	Landscape of germline pathogenic variants in patients with dual primary breast and lung cancer
37328865	2023	yes	primary	10.1186/s13195-023-01244-3	Shared genetic risk loci between Alzheimer's disease and related dementias, Parkinson's disease, and amyotrophic lateral sclerosis
37324196	2023	yes	primary	10.7150/ijms.84364	WWOX Polymorphisms as Predictors of the Biochemical Recurrence of Localized Prostate Cancer after Radical Prostatectomy
37248434	2023	yes	primary	10.1038/s41417-023-00626-x	WWOX binds MERIT40 and modulates its function in homologous recombination, implications in breast cancer
37095367	2023	yes	primary	10.1007/s12035-023-03346-3	Whole-Genome Sequencing Among Kazakhstani Children with Early-Onset Epilepsy Revealed New Gene Variants and Phenotypic Variability
36979157	2023	yes	primary	10.3390/biology12030465	Antineoplastic Nature of WWOX in Glioblastoma Is Mainly a Consequence of Reduced Cell Viability and Invasion
36975604	2023	yes	primary	10.3390/epigenomes7010008	Epigenome-Wide Changes in the Cell Layers of the Vein Wall When Exposing the Venous Endothelium to Oscillatory Shear Stress
36874126	2023	yes	primary	10.3389/fonc.2023.1151862	Editorial: The role of STAT3 signaling pathway in tumor progression
36828035	2023	yes	primary	10.1016/j.pneurobio.2023.102425	WWOX P47T partial loss-of-function mutation induces epilepsy, progressive neuroinflammation, and cerebellar degeneration in mice phenocopying human SCAR12
36779245	2023	yes	primary	10.1111/epi.17542	WWOX developmental and epileptic encephalopathy: Understanding the epileptology and the mortality risk
36587184	2022	yes	primary	10.1038/s41598-022-27173-z	Single-cell resolved ploidy and chromosomal aberrations in nonalcoholic steatohepatitis-(NASH) induced hepatocellular carcinoma and its precursor lesions
36572673	2022	yes	primary	10.1038/s41419-022-05519-9	Loss of tumor suppressor WWOX accelerates pancreatic cancer development through promotion of TGFβ/BMP2 signaling
36572560	2022	yes	primary	10.14348/molcells.2022.0130	Glycogen Synthase Kinase-3 Interaction Domain Enhances Phosphorylation of SARS-CoV-2 Nucleocapsid Protein
36553611	2022	yes	primary	10.3390/genes13122344	Detection of Association Features Based on Gene Eigenvalues and MRI Imaging Using Genetic Weighted Random Forest
36530994	2022	yes	primary	10.3389/fonc.2022.996820	WWOX-rs13338697 genotype predicts therapeutic efficacy of ADI-PEG 20 for patients with advanced hepatocellular carcinoma
36498839	2022	yes	primary	10.3390/ijms232314510	Zfra Inhibits the TRAPPC6AΔ-Initiated Pathway of Neurodegeneration
36364214	2022	yes	primary	10.3390/molecules27217388	WWOX Modulates ROS-Dependent Senescence in Bladder Cancer
36316632	2022	yes	primary	10.1186/s12864-022-08951-5	Genome-wide detection of RNA editing events during the hair follicles cycle of Tianzhu white yak
36291747	2022	yes	primary	10.3390/biom12101538	Heat Shock Protein Upregulation Supplemental to Complex mRNA Alterations in Autoimmune Glaucoma
36271927	2022	yes	review	10.1007/s00109-022-02265-5	WWOX and metabolic regulation in normal and pathological conditions
36071494	2022	yes	primary	10.1186/s40246-022-00405-z	Identification of recurrent variants implicated in disease in bicuspid aortic valve patients through whole-exome sequencing
35984507	2022	yes	primary	10.1007/s00018-022-04508-7	WWOX inhibition by Zfra1-31 restores mitochondrial homeostasis and viability of neuronal cells exposed to high glucose
35883580	2022	yes	review	10.3390/cells11142137	WWOX Controls Cell Survival, Immune Response and Disease Progression by pY33 to pS14 Transition to Alternate Signaling Partners
35716775	2022	yes	primary	10.1016/j.jbc.2022.102145	Structural insights into the role of the WW2 domain on tandem WW-PPxY motif interactions of oxidoreductase WWOX
35715422	2022	yes	primary	10.1038/s41598-022-13974-9	Analysis of clinical phenotypic and genotypic spectra in 36 children patients with Epilepsy of Infancy with Migrating Focal Seizures
35712340	2022	yes	primary	10.7759/cureus.25003	Novel Mutation With Literature Review WW Domain-Containing Oxidoreductase (WWOX) Gene
35655316	2022	yes	primary	10.1186/s13104-022-06081-5	Genome-wide linkage search for cancer susceptibility loci in a cohort of non BRCA1/2 families in Sri Lanka
35627222	2022	yes	primary	10.3390/genes13050837	Feature Fusion and Detection in Alzheimer's Disease Using a Novel Genetic Multi-Kernel SVM Based on MRI Imaging and Gene Data
35573960	2022	yes	primary	10.3389/fped.2022.847549	A Phenotypic-Driven Approach for the Diagnosis of WOREE Syndrome
35571988	2022	yes	primary	10.1093/noajnl/vdac045	Mitochondrial 1555 G>A variant as a potential risk factor for childhood glioblastoma
35563688	2022	yes	primary	10.3390/cells11091382	Determination of WWOX Function in Modulating Cellular Pathways Activated by AP-2α and AP-2γ Transcription Factors in Bladder Cancer
35559044	2022	yes	primary	10.3389/fgene.2022.843661	EHBP1, TUBB, and WWOX SNPs, Gene-Gene and Gene-Environment Interactions on Coronary Artery Disease and Ischemic Stroke
35460704	2022	yes	primary	10.1016/j.jlr.2022.100209	Whole-exome sequencing reveals damaging gene variants associated with hypoalphalipoproteinemia
35409089	2022	yes	primary	10.3390/ijms23073729	Wwox Binding to the Murine Brca1-BRCT Domain Regulates Timing of Brip1 and CtIP Phospho-Protein Interactions with This Domain at DNA Double-Strand Breaks, and Repair Pathway Choice
35383826	2023	yes	primary	10.1093/brain/awac128	Plasma biomarkers and genetics in the diagnosis and prediction of Alzheimer's disease
35363364	2022	no	review	10.26355/eurrev_202203_28362	Identification of epilepsy concomitant candidate genes recognized in Saudi epileptic patients
35328751	2022	yes	primary	10.3390/ijms23063326	The WWOX/HIF1A Axis Downregulation Alters Glucose Metabolism and Predispose to Metabolic Disorders
35290621	2022	yes	primary	10.1007/s13353-022-00690-3	TGFα-EGFR pathway in breast carcinogenesis, association with WWOX expression and estrogen activation
35107375	2022	yes	primary	10.1128/jvi.02026-21	WWOX-Mediated Degradation of AMOTp130 Negatively Affects Egress of Filovirus VP40 Virus-Like Particles
35053314	2022	yes	primary	10.3390/cells11020198	Correcting Differential Gene Expression Analysis for Cyto-Architectural Alterations in Substantia Nigra of Parkinson's Disease Patients Reveals Known and Potential Novel Disease-Associated Genes and Pathways
35047994	2021	yes	primary	10.3389/froh.2021.638213	Combination of Clptm1L and TMEM207 Expression as a Robust Prognostic Marker in Oral Squamous Cell Carcinoma
34948746	2021	yes	primary	10.3390/ijerph182413136	Effect of WW Domain-Containing Oxidoreductase Gene Polymorphism on Clinicopathological Characteristics of Patients with EGFR Mutant Lung Adenocarcinoma in Taiwan
34852950	2022	yes	primary	10.1016/j.neurobiolaging.2021.10.011	Association between WWOX/MAF variants and dementia-related neuropathologic endophenotypes
34831305	2021	yes	review	10.3390/cells10113082	WWOX-Related Neurodevelopmental Disorders: Models and Future Perspectives
34747138	2021	yes	primary	10.15252/emmm.202114599	Neonatal neuronal WWOX gene therapy rescues Wwox null phenotypes
34634460	2021	yes	primary	10.1016/j.nbd.2021.105529	Altered neocortical oscillations and cellular excitability in an in vitro Wwox knockout mouse model of epileptic encephalopathy
34513711	2021	yes	primary	10.3389/fonc.2021.735435	Corrigendum: Fragile Gene WWOX Guides TFAP2A/TFAP2C-Dependent Actions Against Tumor Progression in Grade II Bladder Cancer
34359949	2021	yes	review	10.3390/cells10071781	WWOX and Its Binding Proteins in Neurodegeneration
34268881	2021	yes	primary	10.15252/emmm.202013610	Modeling genetic epileptic encephalopathies using brain organoids
34214506	2021	yes	primary	10.1016/j.ajpath.2021.06.006	Photoreceptor Cell Calcium Dysregulation and Calpain Activation Promote Pathogenic Photoreceptor Oxidative Stress and Inflammation in Prodromal Diabetic Retinopathy
34210081	2021	yes	review	10.3390/cells10071637	Molecular Biology of the WWOX Gene That Spans Chromosomal Fragile Site FRA16D
34204827	2021	yes	primary	10.3390/cancers13122957	WWOX Loses the Ability to Regulate Oncogenic AP-2γ and Synergizes with Tumor Suppressor AP-2α in High-Grade Bladder Cancer
34204789	2021	yes	primary	10.3390/cancers13122955	PLEK2, RRM2, GCSH: A Novel WWOX-Dependent Biomarker Triad of Glioblastoma at the Crossroads of Cytoskeleton Reorganization and Metabolism Alterations
34140629	2021	yes	primary	10.1038/s42003-021-02271-2	Normal cells repel WWOX-negative or -dysfunctional cancer cells via WWOX cell surface epitope 286-299
33958783	2021	yes	primary	10.1038/s41588-021-00847-6	Genome-wide survival study identifies a novel synaptic locus and polygenic score for cognitive progression in Parkinson's disease
33946771	2021	yes	review	10.3390/cells10051051	Molecular Functions of WWOX Potentially Involved in Cancer Development
33919646	2021	yes	review	10.3390/ijms22084202	Genetic Neonatal-Onset Epilepsies and Developmental/Epileptic Encephalopathies with Movement Disorders: A Systematic Review
33916893	2021	yes	review	10.3390/cells10040824	Neurological Disorders Associated with WWOX Germline Mutations-A Comprehensive Overview
33914858	2021	no	primary	10.1093/brain/awab174	Neuronal deletion of Wwox, associated with WOREE syndrome, causes epilepsy and myelin defects
33854788	2021	yes	primary	10.1002/gch2.202000088	Metabolome-Genome-Wide Association Study (mGWAS) Reveals Novel Metabolites Associated with Future Type 2 Diabetes Risk and Susceptibility Loci in a Case-Control Study in a Chinese Prospective Cohort
33718178	2021	yes	primary	10.3389/fonc.2021.621060	Fragile Gene WWOX Guides TFAP2A/TFAP2C-Dependent Actions Against Tumor Progression in Grade II Bladder Cancer
33691672	2021	yes	primary	10.1186/s12894-021-00806-7	In vitro and in silico assessment of the effect of WWOX expression on invasiveness pathways associated with AP-2 transcription factors in bladder cancer
33688485	2020	yes	primary	10.22088/IJMCM.BUMS.9.4.273	Downregulated Expression of WWOX in Cervical Carcinoma: A Case-Control Study
33612478	2021	yes	primary	10.18632/aging.202514	Associations between TUBB-WWOX SNPs, their haplotypes, gene-gene, and gene-environment interactions and dyslipidemia
33565365	2021	yes	primary	10.1369/0022155421991629	Cellular Expression and Subcellular Localization of Wwox Protein During Testicular Development and Spermatogenesis in Rats
33536174	2021	yes	primary	10.1128/JVI.00121-21	Angiomotin Counteracts the Negative Regulatory Effect of Host WWOX on Viral PPxY-Mediated Egress
33520443	2021	yes	primary	10.7717/peerj.10604	Identification of a novel association for the WWOX/HIF1A axis with gestational diabetes mellitus (GDM)
33455117	2020	no	primary		Methylation of WWOX gene promotes proliferation of osteosarcoma cells
33255508	2020	yes	review	10.3390/ijms21238922	WWOX Loss of Function in Neurodevelopmental and Neurodegenerative Disorders
33195192	2020	yes	primary	10.3389/fcell.2020.558432	Wwox Deficiency Causes Downregulation of Prosurvival ERK Signaling and Abnormal Homeostatic Responses in Mouse Skin
33129329	2020	yes	primary	10.1186/s12917-020-02638-3	Characterization of WWOX expression and function in canine mast cell tumors and malignant mast cell lines
33105088	2021	yes	primary	10.1165/rcmb.2020-0444ED	Loss of Endothelial WWOX: A Risk Factor for ARDS in Smokers?
33074286	2021	yes	primary	10.1001/jamaneurol.2020.3536	Novel Alzheimer Disease Risk Loci and Pathways in African American Individuals Using the African Genome Resources Panel: A Meta-analysis
33058734	2021	yes	primary	10.1165/rcmb.2020-0145OC	Cigarette Smoke and Nicotine-Containing Electronic-Cigarette Vapor Downregulate Lung WWOX Expression, Which Is Associated with Increased Severity of Murine Acute Respiratory Distress Syndrome
32931356	2020	yes	primary	10.1080/15384047.2020.1806689	LncRNA WWOX-AS1 sponges miR-20b-5p in hepatocellular carcinoma and represses its progression by upregulating WWOX
32922661	2020	yes	primary	10.18632/oncotarget.27683	The NKL-code for innate lymphoid cells reveals deregulated expression of NKL homeobox genes HHEX and HLX in anaplastic large cell lymphoma (ALCL)
32799870	2020	yes	primary	10.1186/s12943-020-01242-1	Retraction Note: HGF and TGFβ1 differently influenced Wwox regulatory function on Twist program for mesenchymal-epithelial transition in bone metastatic versus parental breast carcinoma cells
32764489	2020	yes	primary	10.3390/cancers12082189	Therapeutic Zfra4-10 or WWOX7-21 Peptide Induces Complex Formation of WWOX with Selective Protein Targets in Organs that Leads to Cancer Suppression and Spleen Cytotoxic Memory Z Cell Activation In Vivo
32669614	2020	no	primary	10.1038/s41374-020-0466-8	The HNRNPA2B1-MST1R-Akt axis contributes to epithelial-to-mesenchymal transition in head and neck cancer
32617189	2020	yes	primary	10.7717/peerj.9294	Whole genome sequencing analysis identifies recurrent structural alterations in esophageal squamous cell carcinoma
32606933	2020	yes	primary	10.2147/CMAR.S244573	LncRNA HOTAIRM1 Inhibits the Proliferation and Invasion of Lung Adenocarcinoma Cells via the miR-498/WWOX Axis
32581702	2020	yes	primary	10.3389/fnins.2020.00644	Loss of Wwox Perturbs Neuronal Migration and Impairs Early Cortical Development
32552875	2020	yes	primary	10.1186/s12885-020-07038-2	Immune characterization of metastatic colorectal cancer patients post reovirus administration
32509092	2020	yes	primary		Aberrant expression of WWOX and its association with cancer stem cell biomarker expression
32389029	2020	yes	review	10.1177/1535370220924618	The WWOX gene in brain development and pathology
32368285	2020	yes	primary	10.7150/jca.40840	Silencing of Wwox Increases Nuclear Import of Dvl proteins in Head and Neck Cancer
32300104	2020	yes	primary	10.1038/s41392-020-0136-8	Pleiotropic tumor suppressor functions of WWOX antagonize metastasis
32290755	2020	yes	review	10.1080/15592294.2020.1748918	Clinical epigenetics and multidrug-resistant bacterial infections: host remodelling in critical illness
32214227	2020	yes	primary	10.1038/s41431-020-0609-9	First-line exome sequencing in Palestinian and Israeli Arabs with neurological disorders is efficient and facilitates disease gene discovery
32180796	2020	yes	primary	10.3389/fgene.2020.00123	Genetic Architecture of Carcass and Meat Quality Traits in Montana Tropical® Composite Beef Cattle
32101017	2020	yes	primary	10.1089/cbr.2019.2978	MiR-214 Mediates Cell Proliferation and Apoptosis of Nasopharyngeal Carcinoma Through Targeting Both WWOX and PTEN
32096174	2020	no	primary	10.26355/eurrev_202002_20154	WWOX regulates the Elf5/Snail1 pathway to affect epithelial-mesenchymal transition of ovarian carcinoma cells in vitro
32081867	2020	yes	primary	10.1038/s41598-020-59922-3	An integrated analysis of rare CNV and exome variation in Autism Spectrum Disorder using the Infinium PsychArray
32000863	2020	yes	primary	10.1186/s40478-020-0883-3	Wwox deficiency leads to neurodevelopmental and degenerative neuropathies and glycogen synthase kinase 3β-mediated epileptic seizure activity in mice
31966760	2017	yes	primary		Expression of ORAOV1, CD133 and WWOX correlate with metastasis and prognosis in gastric adenocarcinoma
31966718	2017	yes	primary		EBV-LMP1 regulating AKT/mTOR signaling pathway and WWOX in nasopharyngeal carcinoma
31966508	2017	yes	primary		WWOX suppresses proliferation and induces apoptosis via G2 arrest and caspase 3 pathway in nasopharyngeal carcinoma cells
31966369	2017	yes	primary		Exogenous WWOX enhances apoptosis and weakens metastasis in CNE2 nasopharyngeal carcinoma cells through the intrinsic apoptotic pathway
31966058	2020	yes	primary	10.3892/ol.2019.11213	Expression and clinical significance of WWOX, Elf5, Snail1 and EMT related factors in epithelial ovarian cancer
31938155	2018	yes	primary		Correlation of expression of WWOX and JNK with clinicopathologic features in human breast carcinoma
31933749	2019	yes	primary		The correlation of the expressions of WWOX, LGR5 and vasohibin-1 in epithelial ovarian cancer and their clinical significance
31752354	2019	yes	primary	10.3390/cancers11111818	WWOX Possesses N-Terminal Cell Surface-Exposed Epitopes WWOX7-21 and WWOX7-11 for Signaling Cancer Growth Suppression and Prevention In Vivo
31745703	2020	yes	primary	10.1007/s00432-019-03078-9	Transcriptome analysis reveals overlap in fusion genes in a phase I clinical cohort of TNBC and HGSOC patients treated with buparlisib and olaparib
31618474	2019	yes	primary	10.1002/ana.25619	The Genetic Landscape of Epilepsy of Infancy with Migrating Focal Seizures
31543760	2019	yes	primary	10.3389/fncel.2019.00391	The WWOX Gene Influences Cellular Pathways in the Neuronal Differentiation of Human Neural Progenitor Cells
31456594	2019	yes	primary	10.12659/MSM.918676	Circular RNA CircMTO1 Inhibits Proliferation of Glioblastoma Cells via miR-92/WWOX Signaling Pathway
31428585	2019	yes	primary	10.3389/fonc.2019.00719	Editorial: WW Domain Proteins in Signaling, Cancer Growth, Neural Diseases, and Metabolic Disorders
31340538	2019	yes	primary	10.3390/ijms20143596	Loss of Wwox Causes Defective Development of Cerebral Cortex with Hypomyelination in a Rat Model of Lethal Dwarfism with Epilepsy
31315632	2019	yes	primary	10.1186/s12964-019-0382-y	A p53/TIAF1/WWOX triad exerts cancer suppression but may cause brain protein aggregation due to p53/WWOX functional antagonism
31275852	2019	yes	primary	10.3389/fonc.2019.00517	Wwox Deletion in Mouse B Cells Leads to Genomic Instability, Neoplastic Transformation, and Monoclonal Gammopathies
31155927	2019	yes	primary	10.1177/1535370219854678	Downregulation of WW domain-containing oxidoreductase leads to tamoxifen-resistance by the inactivation of Hippo signaling
31145772	2019	no	primary	10.18388/abp.2020_5563	East Asian Genome-wide association study derived loci in relation to type 2 diabetes in the Han Chinese population
31123603	2019	yes	primary	10.1038/s41420-019-0176-4	Strategies by which WWOX-deficient metastatic cancer cells utilize to survive via dodging, compromising, and causing damage to WWOX-positive normal microenvironment
31075076	2019	yes	review	10.1080/15384101.2019.1616998	Decoding the link between WWOX and p53 in aggressive breast cancer
31008954	2019	yes	primary	10.1097/MD.0000000000015232	The clinicopathological significance of ubiquitin-conjugating enzyme E2C, leucine-rich repeated-containing G protein-coupled receptor, WW domain-containing oxidoreductase, and vasculogenic mimicry in invasive breast carcinoma
30820047	2019	yes	primary	10.1038/s41588-019-0358-2	Genetic meta-analysis of diagnosed Alzheimer's disease identifies new risk loci and implicates Aβ, tau, immunity and lipid processing
30805310	2019	yes	review	10.3389/fonc.2019.00060	WW Domain-Containing Proteins YAP and TAZ in the Hippo Pathway as Key Regulators in Stemness Maintenance, Tissue Homeostasis, and Tumorigenesis
30783266	2019	yes	primary	10.1038/s41436-019-0460-y	Correction: The phenotypic spectrum of WWOX-related disorders: 20 additional cases of WOREE syndrome and review of the literature
30755385	2019	yes	primary	10.1016/j.molmet.2019.01.010	WWOX somatic ablation in skeletal muscles alters glucose metabolism
30746283	2018	yes	review	10.1515/tnsci-2018-0029	Novel Homozygous Mutation in the WWOX Gene Causes Seizures and Global Developmental Delay: Report and Review
30619736	2018	yes	primary	10.3389/fonc.2018.00591	Delineating WWOX Protein Interactome by Tandem Affinity Purification-Mass Spectrometry: Identification of Top Interactors and Key Metabolic Pathways Involved
30619734	2018	yes	review	10.3389/fonc.2018.00580	WW-Domain Containing Protein Roles in Breast Tumorigenesis
